Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Edge compute hardware,Quantization,2,38,2,175,217,4,40,0.5697006039574618,1.4872702784598928,0.11156144647986874,0.15568455976922577,0.6313364055299538,0.11156144647986874,0.056977566305056265,0.1000131751822939
Quantization,Smaller computation datatype,3,4,37,173,217,40,7,0.672263944058872,0.8888917576860405,0.11500020469972774,0.11883510446172518,0.4173228346456692,0.11500020469972774,0.05517362300589948,0.0820713701716357
Model format conversion,Containerization,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Modular system design,Deployment pipeline creation,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Deadline-aware scheduling,Feature encoding,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Modular system design,Containerization,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Depthwise-separable convolution layers,Standard training on fully labeled datasets,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Depthwise-separable convolution layers,Network combination,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Incremental training with sensor data,On-device local training,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Prediction/intermediate result caching,Internal computation balancing,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Prediction/intermediate result caching,Feature encoding,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Federated learning,On-device local training,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Model format conversion,Multitask Scheduling,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Depthwise-separable convolution layers,Tenary weights,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Additional side branches with uncertainty measures,End-to-end learning,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Label smooting,Training with adversarial noise,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Training with gradient noise,Training with adversarial noise,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Training with unlabed data,Few-shot learning,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
On-chip weight caching,Retraining for fine tuning,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Parameter amount reduction,Activation function selection,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Tuner and meta-tuner blocks,Few-shot learning,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Tuner and meta-tuner blocks,Fault tolerant training,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Depthwise-separable convolution layers,Training with adversarial noise,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Additional side branches with uncertainty measures,Edge compute hardware,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Denoising,End-to-end learning,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Deadline-aware scheduling,TPU SoC or Accelerator Hardware ,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Frame rate reduction,Ternary weights and activations 2-bit,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Robust feature extraction,Transfer learning,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Additional side branches with uncertainty measures,Sensor or input data fusion,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Deadline-aware scheduling,Sensor or input data fusion,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Depthwise-separable convolution layers,Mixed-precision compression,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Label smooting,Heuristics-driven augmentation,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Parameter amount reduction,Training loss function selection or adaptation,1,4,1,211,217,2,5,0.19007895443513734,3.7471483622379123,0.30660779016507045,0.045656255333674685,0.9539170506912443,0.30660779016507045,0.053530452868571485,0.281622197615982
Internal computation balancing,Prediction/intermediate result caching,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Deployment pipeline creation,Modular system design,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Containerization,Modular system design,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
