QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Robustness,Input modification,2,0,67,148,217,69,2,0.5430384413191546,1.1659454087366967,0.14125443104741583,0.10010240655401945,0.33318516051865626,0.524822695035461,0.14125443104741583,0.0602574499312147,0.11096350708586428
Robustness,Robust feature extraction,2,0,67,148,217,69,2,0.5430384413191546,1.1659454087366967,0.14125443104741583,0.10010240655401945,0.33318516051865626,0.524822695035461,0.14125443104741583,0.0602574499312147,0.11096350708586428
Robustness,Training with unlabed data,2,0,67,148,217,69,2,0.5430384413191546,1.1659454087366967,0.14125443104741583,0.10010240655401945,0.33318516051865626,0.524822695035461,0.14125443104741583,0.0602574499312147,0.11096350708586428
Robustness,Test time adaption,2,0,67,148,217,69,2,0.5430384413191546,1.1659454087366967,0.14125443104741583,0.10010240655401945,0.33318516051865626,0.524822695035461,0.14125443104741583,0.0602574499312147,0.11096350708586428
Ressource utilization,Integer-only operations,9,2,109,97,217,118,11,0.9094498228207197,0.4358575910982863,0.12730713548717204,0.06979142319237648,0.385399315138467,0.2145430723878153,0.12730713548717204,0.05990947777622743,0.06587441799748134
Time behaviour,Quantization,21,19,64,113,217,85,40,0.9794994028343471,0.3729096328236439,0.12981363218506983,0.07245186056340361,0.3799834857898534,0.1843237215230205,0.12981363218506983,0.058459955880004216,0.05968350333940016
Capacity,Closed-loop learning,2,4,20,191,217,22,6,0.5351040613112231,1.2575135712539658,0.12958700243610136,0.1146745775723628,0.3135109503356696,0.5571955719557196,0.12958700243610136,0.05760765982156333,0.10765692878577875
Modularity,Containerization,1,2,1,213,217,2,3,0.15066306992548228,4.267363726353742,0.40158798747704766,0.027521761392729136,0.5201079249000705,0.9723502304147466,0.40158798747704766,0.053831625268416776,0.35729807772430106
Usability,Early-exit inference,1,3,1,212,217,2,4,0.17185068465818631,3.9749978045895347,0.3452965673181264,0.036610343061955965,0.47879873382892457,0.9631336405529954,0.3452965673181264,0.05383005536358274,0.31323736341610486
Scalability,Partial layer execution,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.5201079249000705,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Modifiability ,Modular system design,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.5201079249000705,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Scalability,Deadline-aware scheduling,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.5201079249000705,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Scalability,Additional side branches with uncertainty measures,1,1,2,213,217,3,2,0.15066306992548228,3.984343667007772,0.40158798747704766,0.027521761392729136,0.5201079249000705,0.9634703196347032,0.40158798747704766,0.05348370567254021,0.35498882173974794
Usability,Frame rate reduction,1,1,1,214,217,2,2,0.12482668095705252,4.677490847567717,0.49534883720930234,0.018390510325994196,0.5784687397249159,0.9815668202764977,0.49534883720930234,0.053322808669386136,0.4271747695329031
Interpretability,Input modification,1,1,1,214,217,2,2,0.12482668095705252,4.677490847567717,0.49534883720930234,0.018390510325994196,0.5784687397249159,0.9815668202764977,0.49534883720930234,0.053322808669386136,0.4271747695329031
Modularity,Modular system design,1,1,1,214,217,2,2,0.12482668095705252,4.677490847567717,0.49534883720930234,0.018390510325994196,0.5784687397249159,0.9815668202764977,0.49534883720930234,0.053322808669386136,0.4271747695329031
Usability,Sensor duty cycle,1,1,1,214,217,2,2,0.12482668095705252,4.677490847567717,0.49534883720930234,0.018390510325994196,0.5784687397249159,0.9815668202764977,0.49534883720930234,0.053322808669386136,0.4271747695329031
Portability,Library Encapsulation,1,0,4,212,217,5,1,0.13849222534596417,3.9889840465642745,0.44305337860837524,0.023041474654377878,0.5458299098375036,0.9636363636363636,0.44305337860837524,0.05316808871960844,0.38390666758939346
Portability,Matrix-multiplication optimization,1,0,4,212,217,5,1,0.13849222534596417,3.9889840465642745,0.44305337860837524,0.023041474654377878,0.5458299098375036,0.9636363636363636,0.44305337860837524,0.05316808871960844,0.38390666758939346
Portability,Adaptive model scheduling,1,0,4,212,217,5,1,0.13849222534596417,3.9889840465642745,0.44305337860837524,0.023041474654377878,0.5458299098375036,0.9636363636363636,0.44305337860837524,0.05316808871960844,0.38390666758939346
Portability,High-level synthesis,1,0,4,212,217,5,1,0.13849222534596417,3.9889840465642745,0.44305337860837524,0.023041474654377878,0.5458299098375036,0.9636363636363636,0.44305337860837524,0.05316808871960844,0.38390666758939346
Scalability,Feature encoding,1,2,2,212,217,3,3,0.18126924692201818,3.574216545793796,0.32398753894080995,0.04109122518724919,0.4620836365005327,0.9454545454545454,0.32398753894080995,0.053165220091494714,0.293294207342111
Modifiability ,Deployment pipeline creation,1,2,2,212,217,3,3,0.18126924692201818,3.574216545793796,0.32398753894080995,0.04109122518724919,0.4620836365005327,0.9454545454545454,0.32398753894080995,0.053165220091494714,0.293294207342111
Security,Sensor ring architecture,1,0,5,211,217,6,1,0.15066306992548228,3.765840495250065,0.403495529064832,0.027649769585253454,0.5194361611549619,0.9547511312217195,0.403495529064832,0.053148087686974224,0.352761215560397
Security,Suppress redundant channel activations,1,0,5,211,217,6,1,0.15066306992548228,3.765840495250065,0.403495529064832,0.027649769585253454,0.5194361611549619,0.9547511312217195,0.403495529064832,0.053148087686974224,0.352761215560397
Interoperability,Light communication protocol usage,1,0,5,211,217,6,1,0.15066306992548228,3.765840495250065,0.403495529064832,0.027649769585253454,0.5194361611549619,0.9547511312217195,0.403495529064832,0.053148087686974224,0.352761215560397
Interoperability,Relevant content caching,1,0,5,211,217,6,1,0.15066306992548228,3.765840495250065,0.403495529064832,0.027649769585253454,0.5194361611549619,0.9547511312217195,0.403495529064832,0.053148087686974224,0.352761215560397
Interoperability,Coupled semantic descriptions,1,0,5,211,217,6,1,0.15066306992548228,3.765840495250065,0.403495529064832,0.027649769585253454,0.5194361611549619,0.9547511312217195,0.403495529064832,0.053148087686974224,0.352761215560397
